Rent,Address
360,"Bucureşti, Sector 1, zona Universitate (Ultracentral)
710 m (9 minute)"
450,"Bucureşti, Sector 1, zona Aviaţiei (Aviatiei)"
340,"Bucureşti, Sector 1, zona Banu Manta (1 Mai)
480 m (6 minute)"
500,"Bucureşti, Sector 1, zona Calea Victoriei (Ultracentral)
660 m (8 minute)"
339,"Bucureşti, Sector 1, zona Victoriei (Ultracentral)
480 m (6 minute)"
349,"Bucuresti, Sector 1, zona Universitate (Ultracentral)
270 m (3 minute)"
420,"Bucureşti, Sector 1, zona Domenii (1 Mai)"
290,"Bucuresti, Sector 1, zona Cismigiu (Ultracentral)"
270,"Bucureşti, Sector 1, zona P-ţa Romană (Ultracentral)
100 m (1 minut)"
223,"Bucureşti, Sector 1, zona Aviaţiei (Aviatiei)"
300,"Bucureşti, Sector 1, zona Floreasca
680 m (9 minute)"
350,"Bucureşti, Sector 1, zona Victoriei (Ultracentral)
520 m (7 minute)"
230,"Bucureşti, Sector 1, zona 1 Mai
660 m (8 minute)"
480,"Bucuresti, Sector 1, zona Calea Victoriei (Ultracentral)
320 m (4 minute)"
370,"Bucureşti, Sector 1, zona Victoriei (Ultracentral)"
379,"Bucureşti, Sector 1, zona Romană (Ultracentral)"
600,"Bucureşti, Sector 1, zona Domenii (1 Mai)
420 m (5 minute)"
390,"Bucuresti, Sector 1, zona Romana (Ultracentral)
530 m (7 minute)"
280,"Bucureşti, Sector 1, zona Turda (1 Mai)"
530,"Bucureşti, Sector 1, zona Băneasa (Baneasa)"
499,"Bucureşti, Sector 1, zona Domenii (1 Mai)"
490,"Bucuresti, Sector 1, zona P-ta Victoriei (Ultracentral)
210 m (3 minute)"
440,"Bucuresti, Sector 1, zona Universitate (Ultracentral)
40 m (1 minut)"
320,"Bucureşti, Sector 1, zona Floreasca"
200,"Bucuresti, Sector 1, zona P-ta Universitatii (Ultracentral)
110 m (1 minut)"
630,"Bucureşti, Sector 1, zona Băneasa (Baneasa)"
550,"Bucureşti, Sector 1, zona Aviaţiei (Aviatiei)"
400,"Bucuresti, Sector 1, zona Dacia
740 m (9 minute)"
700,"Bucureşti, Sector 1, zona Herăstrău (Herastrau)
530 m (7 minute)"
460,"Bucureşti, Sector 1, zona Victoriei (Ultracentral)"
750,"Bucureşti, Sector 1, zona Băneasa (Baneasa)"
284,"Bucureşti, Sector 1, zona Jiului (Bucurestii Noi)
300 m (4 minute)"
185,"Bucuresti, Sector 1, zona Antiaeriana (Rahova)"
