Rent,Address
330,"Bucureşti, Sector 3, zona Nerva Traian (Unirii)
710 m (9 minute)"
320,"Bucureşti, Sector 3, zona Dristor
360 m (5 minute)"
350,"Bucureşti, Sector 3, zona Dristor"
290,"Bucureşti, Sector 3, zona Titan"
388,"Bucureşti, Sector 3, zona Theodor Pallady (Titan)"
450,"Bucureşti, Sector 3, zona Alba Iulia (Unirii)
460 m (6 minute)"
275,"Bucureşti, Sector 3, zona Basarabia (Titan)
730 m (9 minute)"
480,"Bucuresti, Sector 3, zona Decebal
370 m (5 minute)"
349,"Bucureşti, Sector 3, zona Unirii"
260,"Bucuresti, Sector 3, zona Costin Georgian (Titan)
400 m (5 minute)"
300,"Bucuresti, Sector 3, zona Titan"
279,"Bucureşti, Sector 3, zona Dristor"
250,"Bucuresti, Sector 3, zona Titan
330 m (4 minute)"
449,"Bucureşti, Sector 3, zona Unirii
600 m (8 minute)"
420,"Bucureşti, Sector 3, zona Vitan"
400,"Bucuresti, Sector 3, zona Timpuri Noi (Tineretului)
250 m (3 minute)"
310,"Bucureşti, Sector 3, zona Dristor"
265,"Bucureşti, Sector 3, zona Titan"
299,"Bucureşti, Sector 3, zona Titan"
255,"Bucureşti, Sector 3, zona P-ţa Alba Iulia (Unirii)"
270,"Bucuresti, Sector 3, zona Unirii
760 m (10 minute)"
340,"Bucuresti, Sector 3, zona Muncii
790 m (10 minute)"
370,"Bucuresti, Sector 3, zona Dristor
570 m (7 minute)"
385,"Bucureşti, Sector 3, zona Muncii
140 m (2 minute)"
700,"Bucureşti, Sector 3, zona Unirii
100 m (1 minut)"
240,"Bucuresti, Sector 3, zona Vitan
450 m (6 minute)"
399,"Bucureşti, Sector 3, zona Decebal"
224,"Bucuresti, Sector 3, zona Titan"
280,"Bucuresti, Sector 3, zona Nerva Traian (Unirii)
320 m (4 minute)"
269,"Bucuresti, Sector 3, zona Dristor
380 m (5 minute)"
375,"Bucuresti, Sector 3, zona Timpuri Noi (Tineretului)
650 m (8 minute)"
355,"Bucureşti, Sector 3, zona Dristor
120 m (1 minut)"
380,"Bucureşti, Sector 3, zona Timpuri Noi (Tineretului)
500 m (6 minute)"
265,"Bucureşti, Sector 3, zona Titan"
600,"Bucuresti, Sector 3, zona Vitanul Nou (Vitan)"
430,"Bucuresti, Sector 3, zona Timpuri Noi (Tineretului)
250 m (3 minute)"
390,"Bucureşti, Sector 3, zona Unirii"
500,"Bucuresti, Sector 3, zona Dristor
320 m (4 minute)"
306,"Bucureşti, Sector 3, zona Muncii"
285,"Bucuresti, Sector 3, zona Vitan Mall (Vitan)"
570,"Bucureşti, Sector 3, zona Dristor"
360,"Bucureşti, Sector 3, zona Calea Călăraşilor (Calea Calarasilor)"
289,"Bucureşti, Sector 3, zona Dristor
110 m (1 minut)"
230,"Bucureşti, Sector 3, zona Titan"
204,"Bucuresti, Sector 3, zona Vitanul Nou (Vitan)"
